sample_id	CD4	PTPRC	CTLA4	PDCD1	HAVCR2	VSIR	LAG3	CD38
TCGA-A6-A5ZU-01	890.672	624.54	22.7349	26.7469	258.108	585.757	25.4096	40.1204
TCGA-AA-3488-01	316.9632	87.9355	8.9696	35.5066	53.4557	410.0453	39.1061	33.7027
TCGA-AA-3489-01	1792.87	2487.1	71.3202	80.4249	348.255	1540.97	117.982	173.369
TCGA-AA-3492-01	536.533	347.916	23.455	45.9327	191.549	746.162	84.0471	25.8982
TCGA-AA-3494-01	428.4748	366.8112	33.2227	19.1349	71.867	338.719	25.948	15.8214
TCGA-AA-3495-01	626.445	468.272	45.6733	30.7694	105.289	654.811	67.308	190.386
TCGA-AA-3496-01	1620.7	1242.74	65.4074	60.4398	322.897	981.525	122.535	105.149
TCGA-AA-3502-01	900.966	441.546	8.2126	22.7053	168.116	526.087	61.8357	38.1643
TCGA-AA-3506-01	905.72	439.6	34.1611	29.2168	143.387	848.635	88.5493	82.2564
TCGA-AA-3510-01	819.291	483.9405	21.4626	38.6743	247.5123	1019.5279	64.3353	65.1569
TCGA-AA-3511-01	494.718	313.307	25.1841	10.6712	87.9309	834.062	34.5748	16.6471
TCGA-AA-3514-01	691.3488	123.4209	68.0312	29.3581	91.5516	1680.5584	41.7632	5.0652
TCGA-AA-3517-01	732.0218	583.1932	54.8518	19.3183	150.3741	578.78	45.1152	25.5461
TCGA-AA-3518-01	687.9915	741.2489	49.1138	62.5216	200.3459	783.3991	121.6739	83.416
TCGA-AA-3519-01	513.595	309.5184	33.6927	12.229	119.8098	685.6845	59.0598	45.3881
TCGA-AA-3520-01	859.8397	655.7651	20.8219	15.8993	256.7253	794.02	33.0295	46.8302
TCGA-AA-3521-01	569.3849	378.2146	18.1782	19.0464	157.3509	430.1567	13.7325	23.6164
TCGA-AA-3522-01	480.5275	655.3646	19.5766	20.408	139.6307	486.5434	26.6438	62.1814
TCGA-AA-3524-01	287.1905	332.5162	9.7096	23.0697	107.523	350.2036	9.3474	87.214
TCGA-AA-3525-01	416.1608	370.1747	12.764	24.0845	120.1612	933.3278	63.2978	60.5463
TCGA-AA-3526-01	579.936	603.756	52.6798	47.6409	230.417	432.89	68.2547	34.8145
TCGA-AA-3527-01	456.3951	94.9821	29.1596	65.6699	144.7495	1362.9862	100.3786	64.5277
TCGA-AA-3529-01	410.6053	358.2046	16.2921	17.1855	97.2972	605.6649	18.4596	14.208
TCGA-AA-3530-01	689.4496	884.7738	27.3503	17.5823	133.9551	515.9088	48.374	75.9332
TCGA-AA-3531-01	321.3117	122.8159	18.5036	31.8717	42.0399	670.7336	18.1355	3.3758
TCGA-AA-3532-01	1170.225	1149.8715	58.7275	69.3067	370.1101	863.0268	87.9611	206.4386
TCGA-AA-3534-01	514.3375	477.0252	26.0138	15.1242	115.8659	364.5256	22.8096	16.0789
TCGA-AA-3538-01	502.425	421.4828	15.7133	7.1585	149.8713	478.1671	10.8529	36.1696
TCGA-AA-3542-01	248.542	51.965	12.478	8.4977	81.4853	532.765	31.9499	6.9938
TCGA-AA-3543-01	1275.3913	879.8716	57.8657	179.6842	407.4371	1572.6567	381.2691	93.7153
TCGA-AA-3544-01	1717.5683	619.8354	83.7041	92.0684	375.2499	1114.1299	240.0353	170.711
TCGA-AA-3548-01	1028.0829	303.3006	19.9123	47.7983	149.137	851.6625	108.8643	51.7943
TCGA-AA-3549-01	343.6321	353.9247	37.7329	35.4698	109.8058	976.685	73.0433	17.0208
