"replicate","mean_expression_log_cp10k","cell_detection_rate","tnkilc_vs_other_log2_cpm_ratio","standardized_distance_to_frozen","rho"
1978,0.194340897837111,0.148778819129955,3.91611016442985,1.0906973544783,0.77945657374531
2770,0.176533427098813,0.132364402859464,4.04175794086779,1.09459925400997,0.722746845962076
6738,0.176238908486796,0.140461067206736,4.09348488559416,1.0989256453605,0.848958726801138
8194,0.188273779313154,0.149604374715745,4.10578567726864,1.0989291756742,0.772808541713883
5641,0.181741745941664,0.138441638710831,4.17426007238303,1.10039642338488,0.840648686761855
2048,0.175997291852263,0.14028711258654,3.93685962358161,1.10080846509946,0.81949585757095
503,0.185941551818676,0.148054818057073,3.89549164948215,1.10141481098051,0.82997154440835
9168,0.175628646621185,0.141281277818162,3.95594344996227,1.10248382489987,0.777693837979401
205,0.17881890700555,0.14715054557611,3.98049626652746,1.1045537975407,0.802120319306993
3488,0.17460839308064,0.139783227276084,4.00092956423,1.1045903740584,0.844425977688802
8611,0.180890331169512,0.142318688751453,3.8689188296331,1.10463747881576,0.754324998111355
9480,0.177074164376852,0.143523251610295,4.08764015535655,1.10625190527444,0.819646949208028
7305,0.18098454098813,0.146961041939584,3.91959917904787,1.10851331415035,0.744000402911032
2592,0.178836425635368,0.131440208201329,3.92346763771947,1.10986345099335,0.739115106645514
2708,0.192836506574887,0.143171941022581,3.83765614405821,1.11020090010733,0.773815819294402
2295,0.175224921701876,0.134278875495139,3.99227380913801,1.11176772506878,0.801012313968422
3173,0.174765574598626,0.141043183505603,4.03651197990323,1.11675651307845,0.775477827302259
3917,0.174366557419112,0.137813847176493,3.99062437419597,1.12103410362159,0.805696154717836
2432,0.195698436900752,0.14534734558855,3.86410426421288,1.12192524452976,0.76087230238473
3769,0.188074795243441,0.151368216255719,4.04335778218034,1.12232771207573,0.821711868248092
5390,0.178947174276595,0.146917310331155,3.95273240664746,1.12339284602338,0.78968044118758
5991,0.176129421577096,0.144635006277915,3.99804230290457,1.12442435908579,0.785046964317192
9362,0.176008654666971,0.135499959183832,3.93176544368669,1.12522376895002,0.756389917151419
712,0.201943812260101,0.145931891421219,3.95433068000655,1.12558479495778,0.840497595124777
1090,0.184115167198929,0.144171937135327,3.85258464065245,1.12719837699744,0.755080456296744
3049,0.178699783546912,0.146216632782769,4.08687365907583,1.12722757095013,0.764397773916547
9257,0.178377334339453,0.132999968901967,4.12055782028054,1.12722811991549,0.776636196519856
6439,0.190010792681781,0.141014029099984,3.8214121911668,1.12756406264875,0.799148850444461
4222,0.182465157183516,0.15001739546202,4.03721431560347,1.13026584465904,0.761426305054015
5438,0.190879859757456,0.151507185589172,3.97923883104521,1.13106575404471,0.718868827277077
675,0.178300986623538,0.137801699507485,3.87988443308215,1.13193195203361,0.708443504318703
4587,0.185816186473737,0.142703526905629,3.83437762782017,1.13259058541589,0.718214096849739
6724,0.178664520677171,0.139764762819192,4.14944194971202,1.13370876240792,0.815466747248873
1619,0.184733222006544,0.146027615053003,3.8648127934879,1.13546594757671,0.807609982120823
9111,0.182767602627711,0.130354692498766,3.87963009496191,1.14207872670231,0.743748583515902
5211,0.18251789465764,0.149562100827596,3.95046983843657,1.14395104591411,0.772707813955831
6747,0.194606526273088,0.148625758500453,3.89756717989271,1.14467578665078,0.766764876230767
537,0.174125547623662,0.136680226704658,3.99218005094048,1.14480318753014,0.803077233008486
6652,0.184806566830251,0.150778811355447,3.96560098143522,1.14542674743348,0.766160509682456
2548,0.177848468432529,0.129827969570575,3.96833047526851,1.15132396161972,0.824129334441339
9571,0.180692796540421,0.1271321588643,4.01554142298029,1.15220019333549,0.803329052403616
493,0.177094942421444,0.146617505860035,4.02107987113011,1.15493570362937,0.808566895822316
9563,0.183626537808527,0.150917780688899,4.02141329292598,1.15499468254062,0.732467074614087
6749,0.192339937823238,0.151248197285919,3.953591101597,1.15574704154405,0.759361386013951
9550,0.189227546446523,0.147968812560495,3.87072379133596,1.15617403559964,0.727783233864672
8747,0.175329101893161,0.141366797407979,3.93761034315978,1.1593277903617,0.679433909999748
2538,0.185065107398266,0.149953255769657,3.92361670138356,1.16101734448427,0.826093525723351
618,0.174543218693372,0.134270615080213,4.03980502643981,1.16266983910604,0.760670846868626
6090,0.180073337014654,0.137627744887289,3.85222017115326,1.16549607157917,0.701594016771172
8072,0.177970740445471,0.14703004069955,3.96099916341372,1.16606578642011,0.731711616428697
2373,0.17645946277793,0.145732183742726,3.97537456533405,1.16824089426694,0.792248999017904
4796,0.185402338178189,0.144418291862811,3.83958291032775,1.1695712577105,0.675102616403515
5302,0.177366108471548,0.145187968171164,4.09544871294192,1.17035552894748,0.73866183173428
5386,0.184773343936294,0.142879425152866,4.19370197476388,1.17192919224503,0.774772732995895
1336,0.187182769918157,0.15141486330471,4.07164100899421,1.17194263643282,0.810833270378485
1031,0.17838050701462,0.148038783133982,4.0394545128403,1.17348461044102,0.744957316612526
4469,0.182915498506261,0.145486800828763,3.86038362519016,1.17889999464276,0.793155548840372
7711,0.189439008800766,0.150244313919091,3.90593344354208,1.18019026804639,0.800961950089396
2918,0.17563034032325,0.137360010262351,3.91157172702701,1.18033102581606,0.791946815743749
3351,0.176967936212965,0.136422210214926,4.13669711549072,1.18150788062324,0.732517438493113
4347,0.180273048471222,0.145312360301806,3.8817043395383,1.1816086125316,0.766160509682456
4105,0.178125616350802,0.14344064746104,3.89044785707228,1.18190289605871,0.748281332628239
