"gene","raw_spearman_rho","qc_adjusted_rank_correlation","qc_adjusted_p","FDR_BH","significant","label"
"IL18R1",0.266581981629861,0.263046824037113,0.0150048076508289,0.610289166275314,FALSE,NA
"FN1",0.288411178424858,0.262964924777165,0.0150373659432942,0.610289166275314,FALSE,NA
"LRTM1",0.248250928278288,0.262904913007232,0.0150612618332077,0.610289166275314,FALSE,NA
"HS3ST2",0.236134453781513,0.262792237504248,0.0151062164329023,0.610289166275314,FALSE,NA
"LILRB4",0.238616376783271,0.262693090840032,0.0151458692870943,0.610289166275314,FALSE,NA
"MORN2",0.246374829001368,0.262513660649847,0.0152178596697941,0.610289166275314,FALSE,NA
"SLC30A4",0.263982802423295,0.262434372281119,0.0152497655989366,0.610289166275314,FALSE,NA
"CETN2",0.251182333398476,0.262394358606228,0.0152658891896649,0.610289166275314,FALSE,NA
"ITPRIP",0.22999804572992,0.262326766912628,0.0152931588674751,0.610289166275314,FALSE,NA
"ANKHD1",0.271799882743795,0.262185179821275,0.0153504182762007,0.611101627577309,FALSE,NA
"CYP3A4",0.265389876880985,0.261811915526375,0.0155022594069798,0.611914073817088,FALSE,NA
"RHEB",0.291811608364276,0.261670269372649,0.0155602187104385,0.611914073817088,FALSE,NA
"CHEK1",0.244088333007622,0.261354020268868,0.0156902986167334,0.611914073817088,FALSE,NA
"GEN1",0.2656243892906,0.26132686488899,0.0157015118517463,0.611914073817088,FALSE,NA
"DESI1",0.269102990033223,0.261142583016656,0.0157777901202215,0.611914073817088,FALSE,NA
"SPAG17",0.271389486026969,0.261080830688771,0.0158034222253491,0.611914073817088,FALSE,NA
"INPP1",0.248407269884698,0.260599972759428,0.016004249273693,0.611914073817088,FALSE,NA
"CD70",0.264412741840922,0.260586755434888,0.0160098003625501,0.611914073817088,FALSE,NA
"BTAF1",0.278307602110612,0.260417123011814,0.0160811912347001,0.611914073817088,FALSE,NA
"RGL3",0.249638460035177,0.260172730815231,0.0161845281773483,0.611914073817088,FALSE,NA
