gene,n_organoid,median_organoid,q1_organoid,q3_organoid,pct_officially_depleted,n_crc_2d,median_crc_2d,mean_crc_2d,q1_crc_2d,q3_crc_2d,pct_crc_lt_minus_0_5,pct_crc_lt_minus_1
CH25H,85,-0.0887120164036902,-0.219282605088001,0.0645953445443098,2.3529411764705883,63,0.0603366082906846,0.033702345401506274,-0.057002010612101556,0.14191115017865968,0.0,0.0
CLSTN2,85,0.0286703433843266,-0.0988848620556095,0.142501692844793,1.1764705882352942,63,0.1132778331279538,0.11732223433147791,0.021705620396124448,0.19700130231387836,0.0,0.0
CTLA4,85,-0.119743979440127,-0.235959395121193,-0.0019578620455276,0.0,63,-0.036111610593369,-0.05270399731530942,-0.15807873913951334,0.028384578146658603,0.0,0.0
CTSE,85,0.0268009089983349,-0.0836035485234866,0.171171580361697,0.0,63,0.1028949099508558,0.09565906370017495,0.0364225442138115,0.1605183917592073,0.0,0.0
EGFR,85,-1.19761700637978,-1.64824725621352,-0.845109716542007,82.35294117647058,63,-0.2558103209015928,-0.3445087602520106,-0.5923743601992811,-0.01251411173374835,33.33333333333333,9.523809523809524
ERBB2,85,-0.403175055557931,-0.557344347202205,-0.17006713927377,35.294117647058826,63,-0.3604983174580149,-0.4173275993791553,-0.5738545979542473,-0.20852810217086604,34.92063492063492,3.1746031746031744
HAVCR2,85,0.132586854086688,0.0213255065001394,0.234606260485855,0.0,63,0.026474082945314,0.013950082260260389,-0.04985527721292225,0.09183484588532531,0.0,0.0
HLA-DRA,85,-0.0318021152884341,-0.142952712770546,0.10166035761512,1.1764705882352942,63,-0.012756827420252,-0.013064409056202647,-0.109650634665972,0.050524536831130645,0.0,0.0
IL6,85,-0.0066267902078749,-0.126743474129769,0.109735156025749,1.1764705882352942,63,0.0958655314095658,0.09978405383553796,0.019969010372491998,0.17104374958339785,0.0,0.0
KANK4,85,0.170703401011711,-0.0310926084262936,0.272874853744586,0.0,63,-0.0518480462961685,-0.06485552682618766,-0.15451101074325005,0.024205986441966,0.0,0.0
LAG3,85,-0.0389726589433154,-0.180283204581441,0.124343738269956,3.5294117647058822,63,-0.022209105879542,-0.030615309830297657,-0.115048300110008,0.059575353852436896,0.0,0.0
MSLN,85,0.0748524738323451,-0.0563192080330051,0.178531519460453,0.0,63,0.0586929369667171,0.06545858167290085,0.010388488070824601,0.1185881236960946,0.0,0.0
PDCD1,85,0.0035629796639855,-0.120341719048488,0.141245132097719,1.1764705882352942,63,-0.0175207650115815,-0.011477514724785315,-0.12709091161221925,0.09464532086677954,0.0,0.0
PTPRC,85,0.0693925572045387,-0.0281543503849295,0.202206596388524,0.0,31,-0.0812603390734097,-0.10001922033548606,-0.2007057220643858,-0.00634752273843505,0.0,0.0
SCD,85,-1.14508387692216,-1.40040217954989,-0.814156090500454,83.52941176470588,63,-1.1639835954295306,-1.252209530840273,-1.6435688629917682,-0.7512866449980093,88.88888888888889,60.317460317460316
SIGLEC10,85,-0.0332902510937242,-0.12982993042385,0.100730893821942,1.1764705882352942,63,-0.0970567993446501,-0.09038744636551138,-0.1710087469568261,-0.02006514322223355,0.0,0.0
STAT1,85,-0.0935178822182858,-0.243940994589228,0.0256830960439832,2.3529411764705883,63,0.04047876103866,0.05932646498163052,-0.0113169174344134,0.12357834931409789,0.0,0.0
VSIR,85,0.0056096776290412,-0.1101479103819,0.121914056659672,0.0,63,0.0590525159377453,0.0715045995731059,-0.0052339900335529495,0.15447372947632587,0.0,0.0
