column,gene,median_crc_2d,rank_strongest_dependency,percentile_strongest_dependency
CPSF2 (53981),CPSF2,-1.6309658976905317,342.0,98.15974096060442
HMGCS1 (3157),HMGCS1,-1.629163627612069,343.0,98.15434430652995
EIF2B3 (8891),EIF2B3,-1.6291291263341514,344.0,98.14894765245548
ZNHIT2 (741),ZNHIT2,-1.628364339050269,345.0,98.143550998381
SF3B6 (51639),SF3B6,-1.6246316356687451,346.0,98.13815434430653
TIMELESS (8914),TIMELESS,-1.623648109368636,347.0,98.13275769023205
EFTUD2 (9343),EFTUD2,-1.6228430843354316,348.0,98.12736103615758
NUTF2 (10204),NUTF2,-1.621485908439729,349.0,98.1219643820831
NBPF9 (400818),NBPF9,-1.6161287894221048,350.0,98.11656772800863
YKT6 (10652),YKT6,-1.614657218405506,351.0,98.11117107393416
ACTL6A (86),ACTL6A,-1.6143559377447914,352.0,98.10577441985969
UBE2M (9040),UBE2M,-1.6139745396890444,353.0,98.10037776578523
PABPN1 (8106),PABPN1,-1.6135488452085551,354.0,98.09498111171074
PSMD11 (5717),PSMD11,-1.6128649241910231,355.0,98.08958445763626
TCP1 (6950),TCP1,-1.6098882595437995,356.0,98.08418780356179
USO1 (8615),USO1,-1.6090794910025557,357.0,98.07879114948732
RCC1 (1104),RCC1,-1.6073148362843073,358.0,98.07339449541284
RPL35 (11224),RPL35,-1.6066441411460748,359.0,98.06799784133837
NOP58 (51602),NOP58,-1.605182609044755,360.0,98.0626011872639
RPA2 (6118),RPA2,-1.6045647171226654,361.0,98.05720453318942
RACGAP1 (29127),RACGAP1,-1.6037215501944526,362.0,98.05180787911495
TANGO6 (79613),TANGO6,-1.60186769883716,363.0,98.04641122504047
EIF3I (8668),EIF3I,-1.5989757042748487,364.0,98.041014570966
MAT2A (4144),MAT2A,-1.5956293045106869,365.0,98.03561791689152
TUBGCP2 (10844),TUBGCP2,-1.5927066849375653,366.0,98.03022126281705
SRBD1 (55133),SRBD1,-1.5921533459577708,367.0,98.02482460874258
