gene,raw_spearman_rho,qc_adjusted_rank_correlation,qc_adjusted_p,FDR_BH
CACYBP,0.16836036740277507,0.1587871448718833,0.1466418268187094,0.8428561293019016
ABCA12,0.17936290795387924,0.15878186889048532,0.1466554201830994,0.8428561293019016
SLC7A14,0.1295485636114911,0.1587708542122957,0.1466838021304079,0.8428561293019016
AFG1L,0.13623216728551885,0.15876069478559013,0.14670998397483873,0.8428561293019016
TOMM20L,0.1312878639828024,0.15863267322449026,0.14704020896908218,0.8428561293019016
ATP10B,0.13636896619112762,0.1586242206195751,0.1470620316479252,0.8428561293019016
SMPDL3A,0.13242134062927496,0.15851594599446212,0.14734178688243013,0.8428561293019016
ATP6AP2,0.17805354700019543,0.1583969785833949,0.1476496299977141,0.8428561293019016
PPM1F,0.1560875512995896,0.15838495117291412,0.1476807792739792,0.8428561293019016
C3orf38,0.1317178034004299,0.15835693298142647,0.14775336151194604,0.8428561293019016
MYF5,0.1562048075043971,0.15832053993775227,0.14784767909297436,0.8428561293019016
TPRX1,0.17305061559507523,0.15828432252597957,0.1479415863341662,0.8428561293019016
VWA5A,0.15610709400039086,0.1582496290433541,0.14803158416914877,0.8428561293019016
MCM3AP,0.15555989837795584,0.15821226970190866,0.148128543382223,0.8428561293019016
CALB1,0.15401602501465703,0.1581840969070748,0.14820169212196552,0.8428561293019016
CHD7,0.12458471760797342,0.15814897659311275,0.14829291755279456,0.8428561293019016
HARBI1,0.12694938440492476,0.15811711822514146,0.14837570646005213,0.8428561293019016
YIPF4,0.14285714285714285,0.15809565958536884,0.14843148959274857,0.8428561293019016
ITIH2,0.12200508110220833,0.15804833989070813,0.1485545557940867,0.8428561293019016
YAP1,0.1475278483486418,0.15803838005645895,0.14858046847161915,0.8428561293019016
MYCL,0.1649208520617549,0.158009586420662,0.1486554004445819,0.8428561293019016
YBX1,0.2029314051201876,0.15794637914823947,0.1488199891154701,0.8428561293019016
ZNF627,0.12057846394371703,0.15788915132172307,0.1489691253881678,0.8428561293019016
TMEM132E,0.09439124487004105,0.15784363800839554,0.1490878134688013,0.8428561293019016
MYH4,0.1291577095954661,0.15780771557108933,0.14918154081461227,0.8428561293019016
E2F1,0.1041625952706664,0.15779405611751368,0.1492171920834342,0.8428561293019016
XRRA1,0.054602306038694544,0.15776721437740168,0.14928726780983742,0.8428561293019016
RTP5,0.1404143052569865,0.15772732395305847,0.14939145528180692,0.8428561293019016
CAMP,0.16365057650967366,0.1577013236713873,0.14945939321977011,0.8428561293019016
DDX51,0.12151651358217705,0.15769278470438758,0.14948171032666444,0.8428561293019016
MTMR14,0.16476451045534493,0.157611470318908,0.149694355484876,0.8428561293019016
ZNF335,0.15999609145983976,0.1575236521536164,0.14992426306296777,0.8428561293019016
GATD1,0.16615204221223376,0.15751628845704646,0.14994355319784286,0.8428561293019016
GCA,0.17678327144811415,0.157464675937571,0.1500788108935378,0.8428561293019016
EID2,0.16513582177056868,0.15739317166028674,0.15026634859831534,0.8429363800953183
DCSTAMP,0.13908540160250146,0.15727627639417902,0.15057331318885792,0.8441586458093012
ARL4C,0.14399061950361539,0.15723236462149856,0.1506887457923529,0.8443605327687727
TM4SF18,0.14852452608950556,0.15719953526524905,0.15077508886547103,0.8443605327687727
ATP6V1H,0.16111002540551103,0.15715829130058112,0.1508836153010644,0.8444689263267751
POLA1,0.13228454172366622,0.15713118420045258,0.15095497482108863,0.8444881371176371
MED14,0.13199140121164743,0.15706809041256706,0.15112116718165758,0.8444881371176371
GRB7,0.15559898377955833,0.15705596570072292,0.15115311998399258,0.8444881371176371
LAMTOR2,0.18675004885675203,0.15703023916562056,0.15122093502522885,0.8444881371176371
IL2RG,0.15268712136017198,0.15700177957797876,0.15129598089230265,0.8444936769657647
OSGIN1,0.19286691420754348,0.15697120836268136,0.1513766259974767,0.8445474157704427
SEC23A,0.13361344537815126,0.15695763877300314,0.15141243209387353,0.8445474157704427
VAMP1,0.14768418995505178,0.15694014700398026,0.15145859699524272,0.8445474157704427
TMEM31,0.1587844440101622,0.15689569613991763,0.15157596066615853,0.8446919078472486
ABCE1,0.1389876880984952,0.15689169828442215,0.15158651954121263,0.8446919078472486
SOCS4,0.15628297830760213,0.15666759245560394,0.15217929320217483,0.8464167625161494
GLI1,0.16396325972249365,0.15662509049328693,0.1522919086684205,0.8464167625161494
TRNP1,0.14336525307797537,0.1566208262536745,0.15230321086190918,0.8464167625161494
RRM2B,0.10994723470783663,0.15656971927037786,0.1524387166192725,0.8465920811307082
XAGE2,0.15049833887043187,0.15652367289474906,0.15256088173999752,0.846938080024805
EPHX4,0.1992378346687512,0.15650240402569532,0.15261733462721003,0.846938080024805
ST6GAL1,0.16079734219269104,0.15643482468689432,0.15279681063463485,0.846938080024805
CMTM8,0.16443228454172365,0.15632869467189633,0.1530789869902913,0.846938080024805
NLRP3,0.15131913230408442,0.1563050910751828,0.15314179662592253,0.846938080024805
ROGDI,0.1611686535079148,0.15629845989169142,0.15315944579808877,0.846938080024805
AHCY,0.13163963259722494,0.15626903720391536,0.1532377738333711,0.846938080024805
SLF1,0.1629079538792261,0.1562561817775327,0.15327200648122152,0.846938080024805
G6PD,0.17066640609732264,0.1562559542760534,0.15327261234514034,0.846938080024805
ZNF334,0.13146374829001367,0.15623614365480648,0.1533253772802436,0.846938080024805
CBLC,0.13107289427398866,0.15621924143809962,0.15337040649685346,0.846938080024805
TRIM46,0.10273597811217511,0.15615403163452077,0.1535442245456487,0.8472522541085844
CLCF1,0.16486222395935116,0.15612114599951096,0.15363193762985805,0.8472522541085844
CUL5,0.15387922610904825,0.15596369065683627,0.15405242330829033,0.848752618952932
CLIC6,0.15428962282587452,0.15592659376030468,0.15415161572477762,0.848752618952932
ALDH9A1,0.17871799882743794,0.15589647256432135,0.1542321910468402,0.8488371442190369
PCP2,0.14150869650185655,0.15586767054279363,0.1543092669112785,0.8488371442190369
GABRB3,0.18327144811412938,0.155787002190872,0.15452529299375517,0.8488371442190369
CHD4,0.11901504787961698,0.15562091957143656,0.15497076464178539,0.849575128398847
CTSG,0.18213797146765684,0.15560041919762874,0.15502581766124354,0.849575128398847
AHDC1,0.1378346687512214,0.1555976491388565,0.15503325767290121,0.849575128398847
FAM81B,0.113093609536838,0.1555614760383503,0.15513043827535253,0.849575128398847
DEGS2,0.15131913230408442,0.15549857633388717,0.1552995291808372,0.8501590453649089
CORO7,0.15536447136994333,0.15548362958130268,0.15533973016570343,0.8501590453649089
ONECUT1,0.1288450263826461,0.15537311254125566,0.1556372190000613,0.850602604518795
TBC1D20,0.1345124096150088,0.15536932105897694,0.15564743240641624,0.850602604518795
SLC5A12,0.13275356654289625,0.1553059644001993,0.15581817499992234,0.850602604518795
RPS7,0.12655853038889975,0.15529320735068766,0.15585257139414302,0.850602604518795
DENND2B,0.11055305843267539,0.15524098574845072,0.15599343368014174,0.8506030583417609
SCARF1,0.12339261285909711,0.1552068848617189,0.15608546841026422,0.8506030583417609
TMEM125,0.17666601524330663,0.15519834774049848,0.1561085155372275,0.8506030583417609
STK11,0.1323627125268712,0.15518671456525396,0.1561399249658205,0.8506030583417609
PMP22,0.13892905999609148,0.15511348375585818,0.15633775532546557,0.850805008428545
ZNF248,0.1642954856361149,0.15510513219866376,0.1563603286045089,0.850805008428545
BEND6,0.11962087160445574,0.15509075500419353,0.15639919415942447,0.850805008428545
IMMP1L,0.17654875903849912,0.1550479669873712,0.15651490463040307,0.850805008428545
FASTKD1,0.15923392612859097,0.15502577516882568,0.15657494245861175,0.850805008428545
SLC25A40,0.10322454563220639,0.15492536944030827,0.15684679479144187,0.850805008428545
MEF2C,0.15888215751416845,0.15482856060734798,0.15710924092524034,0.850805008428545
ZNF467,0.13804963846003518,0.15482678079417314,0.15711406900816158,0.850805008428545
P4HTM,0.1728356458862615,0.1548235854795195,0.15712273718605232,0.850805008428545
H1-0,0.09949188977916748,0.15482120055631798,0.15712920718413803,0.850805008428545
C1orf115,0.15163181551690444,0.15472220978783324,0.15739793167979957,0.850805008428545
MAGEA1,0.08461989446941567,0.1547070318618777,0.15743916452854317,0.850805008428545
GABRR1,0.12263044752784834,0.15465525618720405,0.15757988047842966,0.850805008428545
RBM18,0.0852843462966582,0.1546373726689411,0.15762850604357717,0.850805008428545
NSD2,0.09284737150674223,0.1545855079834464,0.15776959005398597,0.850805008428545
RBM8A,0.17101817471174516,0.1545469027533204,0.15787466621720853,0.851094514070049
MIOX,0.18221614227086186,0.15450271585752712,0.15799499848842946,0.8511632752300842
SRPX2,0.09595466093414111,0.1544111552867662,0.15824455850810568,0.8511632752300842
PFKFB1,0.1788938831346492,0.15440473990362155,0.15826205543355462,0.8511632752300842
INIP,0.1586671878053547,0.1543881273787438,0.15830737010683293,0.8511632752300842
COLEC10,0.17934336525307798,0.1543818948829912,0.15832437323199203,0.8511632752300842
ZNF625,0.1038499120578464,0.15420002118597298,0.15882114831230837,0.85194181510427
ADCYAP1R1,0.1688684776236076,0.1541920463833181,0.15884295739570284,0.85194181510427
TAL1,0.12739886652335353,0.1541188488920135,0.15904323812035384,0.85194181510427
AMTN,0.13208911471565368,0.15408867063202517,0.15912586554475178,0.85194181510427
CALR,0.13685753371115889,0.15401093510606434,0.15933885060002598,0.85194181510427
HTRA4,0.17228845026382647,0.15397649950075948,0.15943326724598245,0.85194181510427
TMEM255A,0.18418995505178815,0.15397224125569878,0.15944494552483662,0.85194181510427
FITM1,0.16372874731287862,0.1539580620763964,0.1594838366428814,0.85194181510427
SLC7A6,0.16828219659957008,0.15386222316759904,0.15974689149791305,0.85194181510427
GPR83,0.14213406292749658,0.15385959661999382,0.15975410527477246,0.85194181510427
EXPH5,0.1501074848544069,0.15381246200294996,0.15988360097051865,0.85194181510427
SHPK,0.12993941762751612,0.15380103768052011,0.1599149994106668,0.85194181510427
HDAC5,0.14150869650185655,0.15378017221888585,0.15997235755394928,0.85194181510427
KRTAP4-2,0.06605432870822747,0.15377555620244898,0.15998504882230366,0.85194181510427
ITGB4,0.1510259917920657,0.15376448539115778,0.16001548993934392,0.85194181510427
LHFPL7,0.13165917529802618,0.15374919945726379,0.1600575283339945,0.85194181510427
C11orf80,0.1321282001172562,0.1537396935737287,0.16008367493879858,0.85194181510427
RNF26,0.14385382059800667,0.15373941552949266,0.16008443976684855,0.85194181510427
HMGN2,0.16431502833691616,0.15373756018113283,0.160089543421562,0.85194181510427
USPL1,0.16632792651944497,0.15362538071220724,0.16039834888905424,0.8526948726227058
PRPS1L1,0.12073480555012701,0.1536021997680083,0.16046221601340174,0.8526948726227058
HDHD2,0.15806136408051594,0.15358482262499518,0.1605101051316056,0.8526948726227058
PRKAG2,0.1859487981239007,0.15356632844340182,0.16056108430930374,0.8526948726227058
CELF4,0.13908540160250146,0.15348419474685085,0.16078763084395573,0.8532326612135552
MSANTD3,0.1639828024232949,0.15348123701677388,0.16079579346944664,0.8532326612135552
BMPR1A,0.1249560289231972,0.15326108753452794,0.1614042165246695,0.8537447280560013
AGBL3,0.19665819816298613,0.15322609381753227,0.16150108502168697,0.8537447280560013
PDZK1IP1,0.1669923783466875,0.15317336680608165,0.16164712364690953,0.8537447280560013
SLC7A7,0.1301543873363299,0.15316417771502075,0.16167258479384977,0.8537447280560013
MAFA,0.08725815907758452,0.15310806201053048,0.16182813477909777,0.8537447280560013
DOLPP1,0.13449286691420756,0.1530826975821564,0.16189848011961974,0.8537447280560013
HIBADH,0.18133672073480556,0.1530495525972897,0.16199043809503116,0.8537447280560013
DHRS7B,0.18888020324408836,0.1529647722750677,0.16222583008748648,0.8537447280560013
BRF2,0.05372288450263826,0.15290791811508034,0.16238382717387326,0.8537447280560013
APOC1,0.16368966191127612,0.15290119120761309,0.16240252871470076,0.8537447280560013
ZDHHC15,0.17125268712136016,0.15286088468622533,0.1625146186883953,0.8537447280560013
OVGP1,0.19542700801250734,0.15280813592666354,0.16266139632012513,0.8537447280560013
LENEP,0.09214383427789721,0.15279552649056866,0.1626964976171079,0.8537447280560013
ATOH8,0.11899550517881573,0.1526632930092684,0.16306493818567452,0.8545196146909353
LPAR4,0.12438929059996091,0.15263661269413087,0.16313935206041424,0.8545196146909353
PPIP5K2,0.15438733632988078,0.15258463123620036,0.16328440536760858,0.8545196146909353
GNL2,0.15847176079734218,0.1525419860866386,0.16340347714500278,0.8545196146909353
WFIKKN2,0.12446746140316592,0.15253820542136132,0.16341403644088862,0.8545196146909353
MYOZ3,0.1438733632988079,0.15253300825565339,0.16342855280845378,0.8545196146909353
CDON,0.11911276138362323,0.15251071651538584,0.16349082739763818,0.8545196146909353
SMARCD1,0.1417627516122728,0.15248302617122,0.16356820807365968,0.8545196146909353
TACR3,0.14440101622044166,0.15247531563224653,0.16358976000082648,0.8545196146909353
CBY2,0.14549540746531173,0.1524497506786348,0.16366123229883117,0.8545196146909353
HNRNPA3,0.18557748680867697,0.15241209911896664,0.16376653736106617,0.8545196146909353
EHMT1,0.1655266757865937,0.152407226260353,0.16378016958785147,0.8545196146909353
PRODH2,0.16746140316591754,0.15235565974188187,0.16392448266515436,0.8545196146909353
