pathway,size,ES,NES,p_value,FDR_BH
HALLMARK_UV_RESPONSE_DN,141,-0.2086671724749806,-1.0070596806916667,0.43651152281970174,0.7342459435663075
HALLMARK_TGF_BETA_SIGNALING,48,0.2767219074126095,1.0674848125551473,0.34167289021657954,0.7342459435663075
HALLMARK_PI3K_AKT_MTOR_SIGNALING,99,0.2314628895036886,1.0264418131336808,0.3996370235934664,0.7342459435663075
HALLMARK_PEROXISOME,103,-0.22128002659076715,-1.014213418053152,0.4142988084326306,0.7342459435663075
HALLMARK_P53_PATHWAY,190,0.20445983594651698,1.0035172058827293,0.4445993031358885,0.7342459435663075
HALLMARK_OXIDATIVE_PHOSPHORYLATION,164,-0.21063682081505006,-1.0479298336800444,0.32793709528214615,0.7342459435663075
HALLMARK_MYC_TARGETS_V2,53,0.25183331548121624,1.0004053666172892,0.44345238095238093,0.7342459435663075
HALLMARK_MYOGENESIS,192,0.20133303528663402,0.9909564247134018,0.477972027972028,0.7342459435663075
HALLMARK_COAGULATION,129,-0.2232293215576317,-1.0653506086542643,0.31029810298102983,0.7342459435663075
HALLMARK_ANDROGEN_RESPONSE,92,0.23274896124562858,1.0265917596877725,0.4050258684405026,0.7342459435663075
HALLMARK_UV_RESPONSE_UP,141,0.21729196852920193,1.025457790633871,0.39713774597495527,0.7342459435663075
HALLMARK_TNFA_SIGNALING_VIA_NFKB,190,0.22152035504308948,1.0864662714566544,0.2677882930248861,0.7342459435663075
HALLMARK_XENOBIOTIC_METABOLISM,188,0.19764264559475642,0.9717012887125198,0.5176512968299711,0.7345648400694272
HALLMARK_SPERMATOGENESIS,124,0.20994008135191036,0.9687373764347676,0.529887482419128,0.7345648400694272
HALLMARK_WNT_BETA_CATENIN_SIGNALING,40,0.2555012498899396,0.9487959026244036,0.5435779816513762,0.7345648400694272
HALLMARK_PROTEIN_SECRETION,90,0.2140274871178583,0.9390797419072557,0.5765864332603938,0.7392133759748639
HALLMARK_ANGIOGENESIS,35,-0.2538975529422542,-0.9372501870598021,0.5623059866962306,0.7392133759748639
HALLMARK_COMPLEMENT,190,-0.18584711522308447,-0.942005083251732,0.6310861423220974,0.7888576779026217
HALLMARK_ESTROGEN_RESPONSE_EARLY,194,0.17575517042488598,0.86353433174216,0.8159010600706714,0.8899916795435635
HALLMARK_CHOLESTEROL_HOMEOSTASIS,68,-0.1938017367816495,-0.8290164471724198,0.8021015761821366,0.8899916795435635
HALLMARK_MTORC1_SIGNALING,173,-0.17411548606454766,-0.8619618650178849,0.8351548269581056,0.8899916795435635
HALLMARK_INTERFERON_GAMMA_RESPONSE,181,0.1740907418652689,0.8509618647666003,0.8365921787709497,0.8899916795435635
HALLMARK_FATTY_ACID_METABOLISM,139,0.18573186607882597,0.8704375284002043,0.7610241820768137,0.8899916795435635
HALLMARK_IL6_JAK_STAT3_SIGNALING,79,0.19561111784067506,0.834349823619974,0.7859778597785978,0.8899916795435635
HALLMARK_HEDGEHOG_SIGNALING,35,0.23304553871188882,0.8360822390314231,0.7312824314306894,0.8899916795435635
HALLMARK_ESTROGEN_RESPONSE_LATE,190,0.16966413093636973,0.8340552641965755,0.8878923766816144,0.9100338658486853
HALLMARK_APICAL_SURFACE,42,-0.1906336686617859,-0.7335291902158344,0.8918331885317116,0.9100338658486853
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,43,-0.17939768147022417,-0.6911047572938591,0.9483870967741935,0.9483870967741936
