set	gene
CMScaller_EMT	SERPINE1
CMScaller_EMT	COL1A2
CMScaller_EMT	COL4A1
CMScaller_EMT	COL4A2
CMScaller_EMT	VCAN
CMScaller_EMT	IGFBP3
CMScaller_EMT	TGFBI
CMScaller_EMT	SPARC
CMScaller_EMT	LUM
CMScaller_EMT	LAMC1
CMScaller_EMT	LOX
CMScaller_EMT	LAMC2
CMScaller_EMT	CTGF
CMScaller_EMT	TAGLN
CMScaller_EMT	COL7A1
CMScaller_EMT	LOXL2
CMScaller_EMT	COL6A2
CMScaller_EMT	ITGAV
CMScaller_EMT	THBS2
CMScaller_EMT	COL16A1
CMScaller_EMT	NNMT
CMScaller_EMT	TPM1
CMScaller_EMT	CDH2
CMScaller_EMT	MMP2
CMScaller_EMT	COL11A1
CMScaller_EMT	THBS1
CMScaller_EMT	FAP
CMScaller_EMT	BGN
CMScaller_EMT	SERPINH1
CMScaller_EMT	FSTL1
CMScaller_EMT	POSTN
CMScaller_EMT	THY1
CMScaller_EMT	SPP1
CMScaller_EMT	TNC
CMScaller_EMT	TFPI2
CMScaller_EMT	NID2
CMScaller_EMT	ITGB5
CMScaller_EMT	MMP3
CMScaller_EMT	VIM
CMScaller_EMT	LOXL1
CMScaller_EMT	FBLN5
CMScaller_EMT	COL12A1
CMScaller_EMT	ELN
CMScaller_EMT	CDH11
CMScaller_EMT	COMP
CMScaller_EMT	SPOCK1
CMScaller_EMT	BMP1
CMScaller_EMT	IL32
CMScaller_EMT	LAMA3
CMScaller_EMT	TIMP1
CMScaller_EMT	QSOX1
CMScaller_EMT	TIMP3
CMScaller_EMT	VCAM1
CMScaller_EMT	CYR61
CMScaller_EMT	EDIL3
CMScaller_EMT	CALD1
CMScaller_EMT	MAGEE1
CMScaller_EMT	FBLN1
CMScaller_EMT	SGCB
CMScaller_EMT	ECM1
CMScaller_EMT	LAMA2
CMScaller_EMT	FSTL3
CMScaller_EMT	TPM2
CMScaller_EMT	INHBA
CMScaller_EMT	DAB2
CMScaller_EMT	EMP3
CMScaller_EMT	BASP1
CMScaller_EMT	ITGA5
CMScaller_EMT	MGP
CMScaller_EMT	VEGFA
CMScaller_EMT	CXCL1
CMScaller_EMT	WNT5A
CMScaller_EMT	SDC1
CMScaller_EMT	PLOD2
CMScaller_EMT	PCOLCE
CMScaller_EMT	GREM1
CMScaller_EMT	ITGB1
CMScaller_EMT	COL5A3
CMScaller_EMT	RHOB
CMScaller_EMT	HTRA1
CMScaller_EMT	FGF2
CMScaller_EMT	SNTB1
CMScaller_EMT	GADD45A
CMScaller_EMT	MEST
CMScaller_EMT	LRRC15
CMScaller_EMT	TNFRSF11B
CMScaller_EMT	CD59
CMScaller_EMT	ACTA2
CMScaller_EMT	EFEMP2
CMScaller_EMT	MATN2
CMScaller_EMT	PCOLCE2
CMScaller_EMT	SERPINE2
CMScaller_EMT	GPC1
CMScaller_EMT	ABI3BP
CMScaller_EMT	FUCA1
CMScaller_EMT	SLIT3
CMScaller_EMT	LAMA1
CMScaller_EMT	PMEPA1
CMScaller_EMT	COL8A2
CMScaller_EMT	FBN2
CMScaller_EMT	IGFBP2
CMScaller_EMT	PFN2
CMScaller_EMT	SDC4
CMScaller_EMT	CD44
CMScaller_EMT	GADD45B
CMScaller_EMT	CXCL8
CMScaller_EMT	GLIPR1
CMScaller_EMT	ANPEP
CMScaller_EMT	P3H1
CMScaller_EMT	VEGFC
CMScaller_EMT	MMP14
CMScaller_EMT	SGCD
CMScaller_EMT	PLOD1
CMScaller_EMT	MATN3
CMScaller_EMT	MYL9
CMScaller_EMT	SLC6A8
CMScaller_EMT	CALU
CMScaller_EMT	PRRX1
CMScaller_EMT	TNFRSF12A
CMScaller_EMT	FMOD
CMScaller_EMT	ID2
CMScaller_EMT	GEM
CMScaller_EMT	PLAUR
CMScaller_EMT	MYLK
CMScaller_EMT	TGFB1
CMScaller_EMT	SFRP1
CMScaller_EMT	PLOD3
CMScaller_EMT	IL6
CMScaller_EMT	APLP1
CMScaller_EMT	FBLN2
CMScaller_EMT	MSX1
CMScaller_EMT	PTX3
CMScaller_EMT	FZD8
CMScaller_EMT	JUN
CMScaller_EMT	FERMT2
CMScaller_EMT	DKK1
CMScaller_EMT	SNAI2
CMScaller_EMT	DST
CMScaller_EMT	TPM4
CMScaller_EMT	DCN
CMScaller_EMT	GJA1
CMScaller_EMT	PMP22
CMScaller_EMT	IGFBP4
CMScaller_EMT	COPA
CMScaller_EMT	LRP1
CMScaller_EMT	ITGA2
CMScaller_EMT	FLNA
CMScaller_EMT	MFAP5
CMScaller_EMT	PTHLH
CMScaller_EMT	TGFBR3
CMScaller_EMT	SFRP4
CMScaller_EMT	LGALS1
CMScaller_EMT	RGS4
CMScaller_EMT	CDH6
CMScaller_EMT	SAT1
CMScaller_EMT	NT5E
CMScaller_EMT	DPYSL3
CMScaller_EMT	PPIB
CMScaller_EMT	TGM2
CMScaller_EMT	SGCG
CMScaller_EMT	ITGB3
CMScaller_EMT	PDLIM4
CMScaller_EMT	CTHRC1
CMScaller_EMT	ECM2
CMScaller_EMT	CRLF1
CMScaller_EMT	AREG
CMScaller_EMT	IL15
CMScaller_EMT	MCM7
CMScaller_EMT	GAS1
CMScaller_EMT	PRSS2
CMScaller_EMT	CADM1
CMScaller_EMT	OXTR
CMScaller_EMT	SCG2
CMScaller_EMT	CXCL6
CMScaller_EMT	MMP1
CMScaller_EMT	TNFAIP3
CMScaller_EMT	CAPG
CMScaller_EMT	CAP2
CMScaller_EMT	MXRA5
CMScaller_EMT	FOXC2
CMScaller_EMT	NTM
CMScaller_EMT	ENO2
CMScaller_EMT	FAS
CMScaller_EMT	BDNF
CMScaller_EMT	ADAM12
CMScaller_EMT	PVR
CMScaller_EMT	CXCL12
CMScaller_EMT	PDGFRB
CMScaller_EMT	SLIT2
CMScaller_EMT	NOTCH2
CMScaller_EMT	COLGALT1
CMScaller_EMT	GPX7
CMScaller_EMT	WIPF1
CMScaller_TGF_Beta	MMP10
CMScaller_TGF_Beta	LBH
CMScaller_TGF_Beta	TUBA1A
CMScaller_TGF_Beta	CST6
CMScaller_TGF_Beta	VCAN
CMScaller_TGF_Beta	VIM
CMScaller_TGF_Beta	RBP1
CMScaller_TGF_Beta	UBD
CMScaller_TGF_Beta	AKAP12
CMScaller_TGF_Beta	FRMD6
CMScaller_TGF_Beta	KRT17
CMScaller_TGF_Beta	SNAI2
CMScaller_TGF_Beta	MLLT11
CMScaller_TGF_Beta	MMP7
CMScaller_TGF_Beta	EPHB6
CMScaller_TGF_Beta	PMEPA1
CMScaller_TGF_Beta	POPDC3
CMScaller_TGF_Beta	VGLL3
CMScaller_TGF_Beta	CXCL14
CMScaller_TGF_Beta	SERPINE1
CMScaller_TGF_Beta	LAMC2
CMScaller_TGF_Beta	PGBD5
CMScaller_TGF_Beta	FN1
CMScaller_TGF_Beta	EPHA4
CMScaller_TGF_Beta	IL23A
CMScaller_TGF_Beta	BEAN1
CMScaller_TGF_Beta	BASP1
CMScaller_TGF_Beta	CXCL8
CMScaller_TGF_Beta	RND1
CMScaller_TGF_Beta	WNT7A
CMScaller_TGF_Beta	PODXL
CMScaller_TGF_Beta	ABLIM3
CMScaller_TGF_Beta	TIAM2
CMScaller_TGF_Beta	DSE
CMScaller_TGF_Beta	CMTM3
CMScaller_TGF_Beta	NES
CMScaller_TGF_Beta	ETS1
CMScaller_TGF_Beta	SKIL
CMScaller_TGF_Beta	SEMA7A
CMScaller_TGF_Beta	PDGFB
CMScaller_TGF_Beta	HAPLN3
CMScaller_TGF_Beta	MFGE8
CMScaller_TGF_Beta	FAXDC2
CMScaller_TGF_Beta	TUBB3
CMScaller_TGF_Beta	DUSP10
CMScaller_TGF_Beta	SEC14L2
CMScaller_TGF_Beta	PPP1R18
CMScaller_TGF_Beta	CDKN2B
CMScaller_TGF_Beta	ADAM19
CMScaller_TGF_Beta	FSTL3
CMScaller_TGF_Beta	KIF3C
CMScaller_TGF_Beta	GRB10
