k	target_gene	candidate_gene	rank	distance
25	PTPRC	ITGAE	96	1.682246638044342
25	PTPRC	SYNE2	97	1.6889638371030218
25	PTPRC	CLK1	98	1.6901566738633955
25	PTPRC	CREM	99	1.6948467164595178
25	PTPRC	GNAI2	100	1.6958813774286763
25	CTLA4	CTSW	1	0.15237116299155645
25	CTLA4	IL2RB	2	0.15842855004969225
25	CTLA4	CD8A	3	0.17518338623036522
25	CTLA4	TIGIT	4	0.26331090510109617
25	CTLA4	CD96	5	0.27403644750978157
25	CTLA4	TRGC2	6	0.3073007814736198
25	CTLA4	KLRC2	7	0.3232557420319563
25	CTLA4	GPR171	8	0.3361225026870127
25	CTLA4	GZMM	9	0.33878399666379694
25	CTLA4	GZMK	10	0.3486106983431207
25	CTLA4	CD247	11	0.37707452864062685
25	CTLA4	PRF1	12	0.3963964276761242
25	CTLA4	TRAT1	13	0.3971506780487157
25	CTLA4	TMIGD2	14	0.4050027765488421
25	CTLA4	CXCR6	15	0.4055278585488916
25	CTLA4	SIRPG	16	0.4110045185450257
25	CTLA4	GZMH	17	0.41408029762017834
25	CTLA4	ICOS	18	0.4187939087965224
25	CTLA4	KLRD1	19	0.4312736724266059
25	CTLA4	PYHIN1	20	0.4362480793148533
25	CTLA4	SH2D1A	21	0.45339818001447685
25	CTLA4	AC002331.1	22	0.4702939530606102
25	CTLA4	CD8B	23	0.48948075208244174
25	CTLA4	ZAP70	24	0.5009333685508175
25	CTLA4	CD6	25	0.5257798249420753
25	CTLA4	KLRC1	26	0.5505143735767315
25	CTLA4	IFNG	27	0.5556084639093722
25	CTLA4	RGL4	28	0.5600762617196718
25	CTLA4	IL17A	29	0.570069556261082
25	CTLA4	SLA2	30	0.5781881821623871
25	CTLA4	TNFRSF18	31	0.5908632310963609
25	CTLA4	CD40LG	32	0.5944490847826545
25	CTLA4	XCL1	33	0.6324353344049243
25	CTLA4	TRDC	34	0.6467632584334334
25	CTLA4	RP11-291B21.2	35	0.6581561769936082
25	CTLA4	THEMIS	36	0.6608210381407238
25	CTLA4	ZNF683	37	0.6612625157046137
25	CTLA4	ITK	38	0.6616592873955472
25	CTLA4	FASLG	39	0.6886007886737503
25	CTLA4	KIR2DL4	40	0.6938932265829879
25	CTLA4	CD160	41	0.7105152845254298
25	CTLA4	FOXP3	42	0.7186021793991552
25	CTLA4	JAKMIP1	43	0.7260729538994064
25	CTLA4	XCL2	44	0.7345983616310006
25	CTLA4	TRAC	45	0.7437196570618311
25	CTLA4	CD3G	46	0.7696420916116468
25	CTLA4	HOPX	47	0.784225914838173
25	CTLA4	RP11-343J24.1	48	0.7848430060617194
25	CTLA4	SYTL3	49	0.7876806840508854
25	CTLA4	GATA3	50	0.7881778491096287
25	CTLA4	TNFRSF4	51	0.7919417484592134
25	CTLA4	AC104820.2	52	0.7969549611671984
25	CTLA4	GPR174	53	0.8160647537156966
25	CTLA4	TXK	54	0.8223417581770783
25	CTLA4	IL18RAP	55	0.8291264741450923
25	CTLA4	KLRC4	56	0.8296086902658886
25	CTLA4	CRTAM	57	0.8377277257630795
25	CTLA4	DTHD1	58	0.8449293869202505
25	CTLA4	RP11-622O11.2	59	0.8663447488531545
25	CTLA4	TRGC1	60	0.87089761423185
25	CTLA4	AC133644.2	61	0.8723807490487976
25	CTLA4	UBASH3A	62	0.8725966642582945
25	CTLA4	APOBEC3H	63	0.881337268809539
25	CTLA4	BATF	64	0.8827111428540246
25	CTLA4	TBC1D10C	65	0.8874036742586524
25	CTLA4	PPP2R2B	66	0.8982015292625135
25	CTLA4	EOMES	67	0.8985018802681632
25	CTLA4	SIT1	68	0.9204550602056892
25	CTLA4	KRT86	69	0.93593790080885
25	CTLA4	ZNF831	70	0.9395105200113547
25	CTLA4	GRAP2	71	0.9413269337305528
25	CTLA4	CD5	72	0.950317852886352
25	CTLA4	LAT	73	0.9505131666231293
25	CTLA4	FGFBP2	74	0.9532165782843258
25	CTLA4	CAMK4	75	0.960531824097453
25	CTLA4	SH2D1B	76	0.9688009987133118
25	CTLA4	CD28	77	0.9688887963205606
25	CTLA4	NCR1	78	0.9721482155498058
25	CTLA4	TRG-AS1	79	0.9757862506575921
25	CTLA4	IPCEF1	80	0.9785757969361963
25	CTLA4	IL26	81	0.9858939689153717
25	CTLA4	SLFN12L	82	0.9981793185938113
25	CTLA4	MAL	83	1.0057042886253607
25	CTLA4	TBX21	84	1.0091900928764295
25	CTLA4	TRBV28	85	1.0105744248602855
25	CTLA4	ZBED2	86	1.0107381014356351
25	CTLA4	RP11-265P11.2	87	1.021125871286139
25	CTLA4	NCR3	88	1.0321409900683334
25	CTLA4	ZNF80	89	1.0369970010883591
25	CTLA4	RP11-222K16.2	90	1.0374431404092128
25	CTLA4	CST7	91	1.0466865438519362
25	CTLA4	IL22	92	1.0496682695094564
25	CTLA4	SARDH	93	1.0520143125615509
25	CTLA4	RASGRP1	94	1.0535918752889675
25	CTLA4	SAMD3	95	1.066788475244608
25	CTLA4	KIR3DL2	96	1.074836152423132
25	CTLA4	IL17F	97	1.0784296415872063
25	CTLA4	KLRF1	98	1.0886830425183265
25	CTLA4	STAT4	99	1.094586207095214
25	CTLA4	RP11-356I2.1	100	1.0994084623199365
25	PDCD1	SH2D1A	1	0.07699966452064129
25	PDCD1	ICOS	2	0.10298168474151083
25	PDCD1	TMIGD2	3	0.10534438232452926
25	PDCD1	RGL4	4	0.11916430145444751
25	PDCD1	CD40LG	5	0.12132167189976457
25	PDCD1	TRAT1	6	0.13718928710294626
25	PDCD1	AC002331.1	7	0.1377359212447037
25	PDCD1	SLA2	8	0.17565561155296897
25	PDCD1	XCL1	9	0.18484223389694263
25	PDCD1	FASLG	10	0.19077812908207137
25	PDCD1	ZAP70	11	0.21397686512177486
25	PDCD1	GZMM	12	0.22353526625771145
25	PDCD1	IL17A	13	0.2236316505883759
25	PDCD1	THEMIS	14	0.2357771379403242
25	PDCD1	SIRPG	15	0.2375927450913776
25	PDCD1	TRGC2	16	0.2579780344014239
25	PDCD1	CD160	17	0.26108502292920777
25	PDCD1	JAKMIP1	18	0.2645051679475187
25	PDCD1	ZNF683	19	0.26767326226120736
25	PDCD1	KLRC2	20	0.2822424354302811
25	PDCD1	RP11-291B21.2	21	0.2860009196778971
25	PDCD1	CXCR6	22	0.30811036418287074
25	PDCD1	KIR2DL4	23	0.3192743666107675
25	PDCD1	PYHIN1	24	0.344902630572233
25	PDCD1	FOXP3	25	0.35089256050862677
25	PDCD1	IL2RB	26	0.3854889166947614
25	PDCD1	KLRC4	27	0.3908402965518909
25	PDCD1	IL18RAP	28	0.4336412244962377
25	PDCD1	RP11-343J24.1	29	0.4512327584363963
25	PDCD1	CD8B	30	0.4517612835322161
25	PDCD1	GZMK	31	0.45977053327802725
25	PDCD1	ITK	32	0.46482358270633367
25	PDCD1	CD6	33	0.485286860278438
25	PDCD1	DTHD1	34	0.491507259994929
25	PDCD1	UBASH3A	35	0.49208747427210425
25	PDCD1	XCL2	36	0.4923734851973811
25	PDCD1	AC104820.2	37	0.5287918998106432
25	PDCD1	RP11-622O11.2	38	0.5292218312584986
25	PDCD1	KLRC1	39	0.5421634679918442
25	PDCD1	PPP2R2B	40	0.5509473414132795
25	PDCD1	EOMES	41	0.5656116830234023
25	PDCD1	APOBEC3H	42	0.5721328810747797
25	PDCD1	TXK	43	0.5943073789733959
25	PDCD1	GPR174	44	0.5973394834134093
25	PDCD1	FGFBP2	45	0.6020840314893464
25	PDCD1	CD8A	46	0.6070458366670839
25	PDCD1	CRTAM	47	0.6110205488138725
25	PDCD1	NCR1	48	0.6181626173417583
25	PDCD1	SH2D1B	49	0.6272434721114126
25	PDCD1	CD96	50	0.6314457574022879
25	PDCD1	TRGC1	51	0.6317543817223327
25	PDCD1	TIGIT	52	0.64350323956561
25	PDCD1	ZNF831	53	0.6471573271583324
25	PDCD1	GATA3	54	0.6502826957197592
25	PDCD1	IL26	55	0.6513481123028833
25	PDCD1	TRBV28	56	0.6592820497036203
25	PDCD1	CTSW	57	0.6593309165959703
25	PDCD1	KRT86	58	0.6789101196798194
25	PDCD1	GZMH	59	0.6805249448819027
25	PDCD1	RP11-265P11.2	60	0.6828465702527098
25	PDCD1	TBX21	61	0.6969015365889968
25	PDCD1	ZBED2	62	0.7014210436102046
25	PDCD1	ZNF80	63	0.7024748475732608
25	PDCD1	IFNG	64	0.7075561536176679
25	PDCD1	RP11-222K16.2	65	0.7094987675973696
25	PDCD1	MAL	66	0.7196933758603824
25	PDCD1	CD5	67	0.722881822416393
25	PDCD1	IL22	68	0.7243974039790462
25	PDCD1	SLFN12L	69	0.7271388699411875
25	PDCD1	CD28	70	0.7496804000785595
25	PDCD1	KIR3DL2	71	0.7529531429204622
25	PDCD1	IL17F	72	0.7530218626038784
25	PDCD1	SARDH	73	0.7536239027337397
25	PDCD1	AC133644.2	74	0.7621234935885767
25	PDCD1	CAMK4	75	0.7729582249757008
25	PDCD1	TRDC	76	0.789003873846342
25	PDCD1	RP11-356I2.1	77	0.7956353689152286
25	PDCD1	PRF1	78	0.7963759998324099
25	PDCD1	CD247	79	0.8043153963125366
25	PDCD1	GPR171	80	0.8096725315464819
25	PDCD1	KLRF1	81	0.8164986715885865
25	PDCD1	IL2	82	0.8185901110215749
25	PDCD1	AC013264.2	83	0.8221089822491874
25	PDCD1	GRAP2	84	0.8260115900674067
25	PDCD1	NCR3	85	0.8316701593651101
25	PDCD1	CPA5	86	0.8378862235210685
25	PDCD1	IPCEF1	87	0.8379603635654341
25	PDCD1	SAMD3	88	0.8530095544672825
25	PDCD1	AC017002.1	89	0.8646581873458424
25	PDCD1	RP11-403A21.2	90	0.8708035825338986
25	PDCD1	TRG-AS1	91	0.8893207499426791
25	PDCD1	SYTL3	92	0.8981434390213324
25	PDCD1	NLRC3	93	0.9057286737454845
25	PDCD1	AC069363.1	94	0.9093410986897571
25	PDCD1	TRGV9	95	0.91007095706102
25	PDCD1	KLRD1	96	0.9169505348068266
25	PDCD1	CTD-2288O8.1	97	0.9225459131910755
25	PDCD1	CGA	98	0.9352214952905513
25	PDCD1	KRT81	99	0.9415290985927095
25	PDCD1	SIT1	100	0.9416961548481638
25	HAVCR2	TAGAP	1	0.18756725871396013
25	HAVCR2	SKAP1	2	0.20747608408743862
25	HAVCR2	GIMAP4	3	0.2221252034403915
25	HAVCR2	RP11-138A9.2	4	0.23989139299108794
25	HAVCR2	DOK2	5	0.2506768105899361
25	HAVCR2	ABI3	6	0.25109573823203485
25	HAVCR2	EVI2A	7	0.2526765282850043
25	HAVCR2	EMB	8	0.25549177230608167
25	HAVCR2	ANKRD44	9	0.28523530011608594
25	HAVCR2	FMNL1	10	0.286244782651319
25	HAVCR2	RASSF5	11	0.28667111925499567
25	HAVCR2	LDLRAD4	12	0.28756424686504894
25	HAVCR2	NR3C1	13	0.2911137150543928
25	HAVCR2	ARHGAP30	14	0.2933283314800137
