sample_ID,library,distance,AUC_ROC,AUC_PR,COEFF,genes_depleted,SD_LFC,MEAN_LFC,TPR,FPR,order
HCM-SANG-0282-C18,v1_1,37.4741462230964,0.973469042380872,0.970828363073149,2.24652559675376,1230,0.381581673642503,-0.102391177446226,0.742765273311897,0.0135338345864662,63
HCM-SANG-0283-C18,v1_1,34.0909359398845,0.949887580688055,0.955408071220979,2.31084679083926,1235,0.391236354035768,-0.10174690640061,0.773311897106109,0.0165413533834586,65
HCM-SANG-0284-C18,v1_1,37.2220286301462,0.771186809467398,0.735327888737757,1.95687679859628,1185,0.567636949006715,-0.109419627156352,0.691318327974277,0.0135338345864662,39
HCM-SANG-0286-C20,minLib,18.8867459793618,0.985605492831758,0.987177713076098,2.77528959348306,1844,0.329252989649208,-0.101106596982223,0.930868167202572,0.0165413533834586,157
HCM-SANG-0288-C18,minLib,18.59779602234,0.971563958126828,0.974697901913836,2.75966013299992,1608,0.331794091075456,-0.101137287806315,0.897106109324759,0.0150375939849624,130
HCM-SANG-0517-C20,minLib,34.4816893433112,0.995048715035176,0.995557515967836,2.80029354065333,1757,0.346623263498273,-0.100699889259675,0.92443729903537,0.0150375939849624,149
HCM-SANG-0518-C18,minLib,23.4368515525516,0.985987476730411,0.987535672132232,2.36744224460013,1220,0.410746973765152,-0.100752899364526,0.752411575562701,0.0150375939849624,67
HCM-SANG-0519-C20,minLib,13.5610015532966,0.985298455141068,0.988612766853445,2.91776040229743,1878,0.317350033000357,-0.101167244252094,0.945337620578778,0.0180451127819549,170
HCM-SANG-0525-C18,minLib,40.8176937319537,0.98574813238885,0.987252156736051,2.09604055512461,1061,0.444808176744837,-0.100433603129964,0.652733118971061,0.0105263157894737,35
HCM-SANG-0529-C18,minLib,36.5241211894742,0.98771849237241,0.989674000678538,2.25419850527739,1416,0.380088573355139,-0.100778354293955,0.807073954983923,0.0135338345864662,73
HCM-SANG-0532-C20,v1_1,36.6832100233305,0.957684403935885,0.963458310224699,2.43695578006786,1487,0.381873614550998,-0.101954454910887,0.826366559485531,0.0135338345864662,86
HCM-SANG-0534-C18,minLib,17.4551209437995,0.983214467035757,0.986649776695026,3.03766166495059,1890,0.318948841870662,-0.101079729172184,0.958199356913183,0.0150375939849624,173
HCM-SANG-0535-C20,minLib,46.6729459637253,0.98935280322994,0.990020366493408,2.03340244933577,476,0.491692717730207,-0.100242724727182,0.389067524115756,0.00601503759398492,13
HCM-SANG-0536-C18,v1_1,21.7707351962604,0.94729589246428,0.948617699860556,2.68420247775954,1899,0.322724554040409,-0.102886454643473,0.937299035369775,0.0165413533834586,154
HCM-SANG-0539-C18,minLib,40.2132343413649,0.986062422938375,0.988581080895336,2.11522266544385,1222,0.425201960497672,-0.100767072848165,0.684887459807074,0.0120300751879699,45
HCM-SANG-0541-C20,minLib,41.3679196999124,0.989164228900225,0.989130482488419,2.01164390300791,935,0.502164594957799,-0.100396481384299,0.57556270096463,0.0105263157894737,25
HCM-SANG-0542-C18,minLib,36.4550958651839,0.9892826922612,0.991021067787513,2.33144434235134,1331,0.360398500392968,-0.100868419993516,0.815112540192926,0.0150375939849624,74
HCM-SANG-0551-C18,v1_1,19.3385076565337,0.950629789908856,0.952908376778705,2.77567200835003,1494,0.33847856138013,-0.103454820718413,0.889067524115756,0.0165413533834586,123
HCM-SANG-1087-C18,minLib,41.5629027161023,0.971254502816527,0.975801994951786,2.10841947295991,810,0.468102759121051,-0.100198875025301,0.583601286173633,0.0120300751879699,27
HCM-SANG-1090-C18,v1_1,31.8973349475599,0.890991949326693,0.881685386052754,2.55626226734963,1398,0.344478741181734,-0.102072398923763,0.860128617363344,0.0165413533834586,95
HCM-SANG-1092-C18,v1_1,19.6012147404756,0.959758721562749,0.951784658721882,2.99154338558518,1718,0.310729502624277,-0.1032058328435,0.946945337620579,0.0165413533834586,162
HCM-SANG-1301-C20,minLib,44.7951912242782,0.986744191668883,0.988511636842862,1.84040193187718,1068,0.474236658983413,-0.1003657250327,0.639871382636656,0.0120300751879699,30
HCM-SANG-1304-C20,v1_1,29.9497093422128,0.813956918018519,0.82890681311032,2.44568691967191,1636,0.341794607011883,-0.102058192412582,0.884244372990354,0.0180451127819549,105
HCM-SANG-1312-C20,minLib,18.368088831818,0.975519183811619,0.979407582719172,2.74801377818489,1581,0.369513387912292,-0.100985752074362,0.887459807073955,0.0180451127819549,126
HCM-SANG-1314-C18,minLib,20.7540151724602,0.98271643739574,0.98584635889472,2.60345478282845,2007,0.330201367739362,-0.101116836880335,0.929260450160772,0.0195488721804511,144
HCM-SANG-1315-C18,v1_1,37.4125374933484,0.981802577182506,0.983579878665924,2.61373904529164,1503,0.343513370516391,-0.102372497032073,0.87459807073955,0.0165413533834586,110
HCM-SANG-1316-C18,minLib,47.8554352418006,0.920407127142615,0.927571594496944,1.74889199542919,465,0.466032964676828,-0.100962065096724,0.363344051446945,0.00601503759398492,6
HCM-SANG-1317-C20,minLib,11.2256508677792,0.945296521045379,0.954119835784167,2.89972813079087,2028,0.305151717556019,-0.101416762127422,0.966237942122186,0.0195488721804511,175
HCM-SANG-1318-C20,minLib,26.3675393837364,0.992568237313541,0.992239063175776,2.65508535778434,1585,0.346142194792281,-0.100912638110774,0.901929260450161,0.0165413533834586,122
HCM-SANG-1321-C18,v1_1,31.4114081563511,0.961760510601262,0.959962671574319,2.4560181904263,1373,0.390361916148285,-0.101094142844047,0.776527331189711,0.0150375939849624,76
HCM-SANG-1327-C18,minLib,13.1368127610724,0.960341367889176,0.964354306894763,2.83548286035081,1923,0.321080986755202,-0.101124338507597,0.940514469453376,0.0195488721804511,161
HCM-SANG-1332-C18,minLib,41.7890185048556,0.979198800860673,0.981203858367806,1.89738584064966,546,0.548513401014542,-0.100361339890668,0.368167202572347,0.00751879699248126,9
HCM-SANG-1334-C18,v1_1,30.4000460554466,0.982008074849503,0.982574748254441,2.68798849062847,1616,0.333517753914159,-0.103024005161881,0.90032154340836,0.0180451127819549,128
