gene,n,median_LFC,mean_LFC,q1_LFC,q3_LFC,pct_depleted,rank_most_dependent,percentile_most_dependent
EPRS1,85,-1.47713111814122,-1.5117431204932201,-1.65403550335663,-1.32952970226473,94.11764705882352,134,99.19690839925124
CSE1L,85,-1.47668406189396,-1.483542035853245,-1.72413653818269,-1.20088754559861,96.47058823529412,135,99.19087011653886
RFC1,85,-1.47273372592931,-1.4771084192841069,-1.68497747244218,-1.27113613669544,94.11764705882352,136,99.18483183382646
NARS1,85,-1.47223432736564,-1.5339498250284738,-1.76750922113266,-1.31651579711242,96.47058823529412,137,99.17879355111407
GINS1,85,-1.4702730045607,-1.5144236979145826,-1.70892153167289,-1.29410850255713,96.47058823529412,138,99.17275526840167
CDC16,85,-1.46941726355671,-1.488667279678005,-1.64313549032762,-1.29641669570609,96.47058823529412,139,99.16671698568928
AURKB,85,-1.46871313991205,-1.5561993941416132,-1.78633100597324,-1.27090496216814,97.6470588235294,140,99.16067870297688
TUT1,85,-1.46168753691756,-1.4286817830547232,-1.71603947614512,-1.15542989691401,88.23529411764706,141,99.15464042026447
EEF2,85,-1.46116311347797,-1.4536899179247151,-1.65699582173488,-1.23322059291555,94.11764705882352,142,99.14860213755207
DONSON,85,-1.45491118429333,-1.3939654450817256,-1.67894411942077,-1.15093103637268,91.76470588235294,143,99.14256385483968
SMC2,85,-1.45312699332631,-1.492013815158061,-1.70739870037072,-1.22118059586045,97.6470588235294,144,99.13652557212728
NSL1,85,-1.45298200999589,-1.4899601597660472,-1.7260743919035,-1.17723305472363,92.94117647058823,145,99.13048728941489
ANKLE2,85,-1.44892516817194,-1.4215973033560612,-1.66013595225868,-1.15716959630049,91.76470588235294,146,99.12444900670249
SARS1,85,-1.44841164462821,-1.4274333576052354,-1.66613466219348,-1.20408628620076,91.76470588235294,147,99.11841072399011
MCM7,85,-1.44622267776136,-1.3780066919848122,-1.63515926740995,-1.20956662859257,84.70588235294117,148,99.1123724412777
SAP30BP,85,-1.44043200705858,-1.4558831070246205,-1.72748345324201,-1.16670454386239,94.11764705882352,149,99.1063341585653
EIF2B3,85,-1.43625575863635,-1.48673770140756,-1.6944101854146,-1.30066052162341,92.94117647058823,150,99.10029587585291
EIF2B5,85,-1.43148893228765,-1.4223711648278212,-1.6363089595026,-1.18893506626365,95.29411764705881,151,99.09425759314051
RANGAP1,85,-1.42847117243446,-1.4693024985117575,-1.58109379821407,-1.23605057842868,95.29411764705881,152,99.08821931042812
CCT2,85,-1.42734973623029,-1.4489986723739228,-1.59610767962944,-1.29724973022892,92.94117647058823,153,99.08218102771572
RPAP1,85,-1.42694275267391,-1.4646859443354636,-1.6843620843719,-1.23540668656876,94.11764705882352,154,99.07614274500332
RPS10,85,-1.42499505925527,-1.503937441573943,-1.78445656083006,-1.23310272526314,90.58823529411765,155,99.07010446229091
FAU,85,-1.42428970766929,-1.5029349499962028,-1.74312636799746,-1.17633814205248,91.76470588235294,156,99.06406617957853
NUDT21,85,-1.42385103216107,-1.4779108397823049,-1.66249109950957,-1.27186103889802,96.47058823529412,157,99.05802789686614
MCM3,85,-1.42058717415285,-1.4669500360002072,-1.66366186339443,-1.2126199075716,96.47058823529412,158,99.05198961415374
ATP6V0C,85,-1.4202784003388,-1.3598941866473395,-1.6824250358733,-1.04121899828703,85.88235294117646,159,99.04595133144134
PCID2,85,-1.41781866666566,-1.4207559789759445,-1.62343268238776,-1.11802253199788,96.47058823529412,160,99.03991304872895
DUT,85,-1.41545176107901,-1.427340602761624,-1.71499239455109,-1.15718934363339,90.58823529411765,161,99.03387476601655
NUDC,85,-1.4146682771731,-1.42284757375355,-1.63361326247278,-1.21634665890864,95.29411764705881,162,99.02783648330414
CHEK1,85,-1.41295630140089,-1.3858680345191883,-1.70388939601401,-1.08047787923804,90.58823529411765,163,99.02179820059175
CPSF2,85,-1.40797872253858,-1.4203156875966907,-1.60730005846495,-1.19523907403467,96.47058823529412,164,99.01575991787935
ZBTB11,85,-1.40662138649332,-1.415369517924323,-1.6450687666793,-1.17058340886133,94.11764705882352,165,99.00972163516695
SRP54,85,-1.40429700585374,-1.4392242980654633,-1.69799695620613,-1.18731839783526,89.41176470588236,166,99.00368335245456
RPL11,85,-1.40361448744518,-1.4319902776823052,-1.59010065808856,-1.25581817019972,91.76470588235294,167,98.99764506974216
PRPF6,85,-1.40313028752064,-1.4403015013275369,-1.62335354791443,-1.21594013785458,95.29411764705881,168,98.99160678702977
XAB2,85,-1.40161215814386,-1.3378340415278827,-1.68970474001116,-1.09329577059154,90.58823529411765,169,98.98556850431737
RPS8,85,-1.40126524151744,-1.3792284184812849,-1.60346607277308,-1.1408092737961,94.11764705882352,170,98.97953022160497
RPL10A,85,-1.40091506624907,-1.4441565816453916,-1.62426893050271,-1.28483115689211,96.47058823529412,171,98.97349193889258
GPN3,85,-1.39988905260493,-1.42334860623151,-1.56730463224746,-1.2327305611489,95.29411764705881,172,98.96745365618018
MED21,85,-1.3966218440987,-1.4441164503978376,-1.68809287089911,-1.21085516058878,96.47058823529412,173,98.96141537346779
PRPF19,85,-1.39533213801607,-1.4434995867357403,-1.62773868971056,-1.2322337674401,95.29411764705881,174,98.95537709075539
RRM1,85,-1.39470661888924,-1.3585582359594799,-1.58015109732878,-1.12025628346471,90.58823529411765,175,98.949338808043
RPL13A,85,-1.39432542732539,-1.4244972087380685,-1.60144266141363,-1.23203048455661,95.29411764705881,176,98.94330052533059
CDT1,85,-1.39279718649466,-1.3737517175059115,-1.62784894157193,-1.09273155289325,92.94117647058823,177,98.93726224261819
AARS1,85,-1.39230100373671,-1.3669532689145971,-1.58196989860124,-1.1331025289569,90.58823529411765,178,98.93122395990581
RUVBL2,85,-1.38876131625596,-1.3972489223875548,-1.55087752727242,-1.21450998308412,94.11764705882352,179,98.92518567719341
ATP6V1A,85,-1.38760537994685,-1.3996173675905161,-1.68444258676728,-1.13908431700012,89.41176470588236,180,98.91914739448102
KPNB1,85,-1.38738931972616,-1.3731508609183387,-1.71392916369635,-1.03261368899362,91.76470588235294,181,98.91310911176862
SF3A1,85,-1.3848383050197,-1.4341086448207392,-1.62020550138537,-1.18029179990334,91.76470588235294,182,98.90707082905622
NUP85,85,-1.38228646939723,-1.3966462151721402,-1.60039590347186,-1.16839823139451,94.11764705882352,183,98.90103254634381
RPS18,85,-1.37717765085081,-1.3620732494769388,-1.57298370185526,-1.09168160716679,89.41176470588236,184,98.89499426363142
RPL4,85,-1.37652748230187,-1.4277953931456326,-1.69448598816985,-1.13399184654884,91.76470588235294,185,98.88895598091902
RPSA,85,-1.37409690608764,-1.3808479628952355,-1.60146318390204,-1.1760809532594,92.94117647058823,186,98.88291769820663
LSM6,85,-1.37310406112982,-1.3869588951920553,-1.55640224656325,-1.21332072025851,94.11764705882352,187,98.87687941549423
RPS23,85,-1.37133085655316,-1.40958994248939,-1.63142924656129,-1.16770190705529,91.76470588235294,188,98.87084113278183
POLR2E,85,-1.37032933866735,-1.3905977177868625,-1.62389356121511,-1.17699031788908,95.29411764705881,189,98.86480285006944
ANAPC5,85,-1.36475125660492,-1.3260234079975872,-1.58866499514342,-1.10772497937712,88.23529411764706,190,98.85876456735704
SUPT5H,85,-1.36395122030988,-1.3262311343968052,-1.55278948670553,-1.1278363071218,89.41176470588236,191,98.85272628464465
CCT4,85,-1.36312281642104,-1.4095713062325337,-1.60085955385616,-1.19143634872379,91.76470588235294,192,98.84668800193225
CCT3,85,-1.36113939104953,-1.3764057870690707,-1.55219826411772,-1.17531666000868,91.76470588235294,193,98.84064971921985
UPF2,85,-1.35713100903811,-1.3228467801681316,-1.55835811439465,-1.12387371364872,89.41176470588236,194,98.83461143650746
PSMC3,85,-1.35614534341916,-1.3707358758288395,-1.60710580773343,-1.10197997275274,91.76470588235294,195,98.82857315379506
SF3A2,85,-1.35030200684331,-1.333625765175682,-1.51907022370422,-1.12345757338622,92.94117647058823,196,98.82253487108267
RBM8A,85,-1.34612583965115,-1.382666981218352,-1.66862594407717,-1.1352958473185,92.94117647058823,197,98.81649658837027
RBM39,85,-1.34605588840127,-1.3786975692174444,-1.72369145953568,-1.04342072414434,92.94117647058823,198,98.81045830565786
POLR1C,85,-1.34561911578203,-1.3526716839007773,-1.55310833792334,-1.14190519269499,90.58823529411765,199,98.80442002294546
CDC23,85,-1.34493315551108,-1.3457602661495849,-1.51900352547729,-1.17363646692588,90.58823529411765,200,98.79838174023308
CKAP5,85,-1.344622846476,-1.339487786540359,-1.60275144231578,-1.06482500421055,90.58823529411765,201,98.79234345752069
CTNNB1,85,-1.34348926520711,-1.358318459276672,-1.64096132572611,-1.03229304338351,88.23529411764706,202,98.78630517480829
BCL2L1,85,-1.34232067948661,-1.3291193721740344,-1.69197196614029,-0.980557388058012,87.05882352941177,203,98.7802668920959
LIG1,85,-1.34194921288401,-1.2901140705074583,-1.49781797724953,-1.12512341501668,87.05882352941177,204,98.7742286093835
RPL5,85,-1.33584735253086,-1.3630745306029375,-1.59116451340983,-1.12027939891845,90.58823529411765,205,98.76819032667109
KIF23,85,-1.33114452903549,-1.3705213526295619,-1.6150215095532,-1.14108283327828,92.94117647058823,206,98.7621520439587
